TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,MRG,REGULARITY,CHURN
K > 24 month,2000.0,4.0,2000.0,667.0,4.0,1138.0,27.0,59.0,NO,27,1
K > 24 month,200.0,1.0,180.0,60.0,1.0,9.0,6.0,1.0,NO,25,1
K > 24 month,11000.0,40.0,11350.0,3783.0,50.0,8319.0,13.0,38.0,NO,62,1
K > 24 month,3650.0,5.0,3289.0,1096.0,8.0,17.0,298.0,51.0,NO,12,1
K > 24 month,6300.0,11.0,6465.0,2155.0,21.0,1287.0,12.0,26.0,NO,59,1
K > 24 month,1600.0,4.0,1542.0,514.0,4.0,3732.0,2.0,0.0,NO,11,1
K > 24 month,500.0,1.0,484.0,161.0,1.0,85.0,0.0,1.0,NO,2,1
K > 24 month,5000.0,8.0,5000.0,1667.0,9.0,156.0,37.0,48.0,NO,18,1
K > 24 month,3100.0,13.0,3086.0,1029.0,13.0,1208.0,5.0,2.0,NO,17,1
K > 24 month,5000.0,7.0,3357.0,1119.0,8.0,0.0,67.0,69.0,NO,29,1
K > 24 month,1000.0,2.0,989.0,330.0,5.0,963.0,20.0,3.0,NO,8,1
K > 24 month,2000.0,4.0,1995.0,665.0,9.0,1129.0,3.0,4.0,NO,13,1
K > 24 month,6000.0,5.0,5696.0,1899.0,11.0,3093.0,54.0,12.0,NO,19,1
K > 24 month,2000.0,4.0,2501.0,834.0,5.0,0.0,1.0,38.0,NO,23,1
K > 24 month,1000.0,2.0,1000.0,333.0,2.0,0.0,8.0,17.0,NO,15,1
K > 24 month,11400.0,25.0,12211.0,4070.0,32.0,4530.0,14.0,224.0,NO,54,1
K > 24 month,9600.0,22.0,10099.0,3366.0,32.0,0.0,1788.0,152.0,NO,35,1
I 18-21 month,4000.0,7.0,4000.0,1333.0,11.0,2281.0,0.0,16.0,NO,35,1
K > 24 month,5950.0,17.0,6350.0,2117.0,17.0,0.0,60.0,56.0,NO,3,1
K > 24 month,8500.0,22.0,8651.0,2884.0,24.0,316.0,2527.0,75.0,NO,62,1
K > 24 month,500.0,1.0,981.0,327.0,1.0,0.0,0.0,8.0,NO,37,1
K > 24 month,6800.0,13.0,6900.0,2300.0,14.0,0.0,15.0,155.0,NO,7,1
K > 24 month,5400.0,15.0,4998.0,1666.0,16.0,2032.0,2.0,1.0,NO,16,1
K > 24 month,6500.0,8.0,6499.0,2166.0,7.0,1736.0,3.0,1.0,NO,3,1
K > 24 month,3750.0,11.0,3701.0,1234.0,13.0,1010.0,1557.0,70.0,NO,6,1
K > 24 month,500.0,2.0,109.0,36.0,2.0,0.0,1.0,1.0,NO,17,1
K > 24 month,1000.0,2.0,998.0,333.0,2.0,0.0,145.0,8.0,NO,11,1
K > 24 month,25500.0,41.0,23795.0,7932.0,57.0,13038.0,102.0,243.0,NO,62,1
K > 24 month,3250.0,7.0,3186.0,1062.0,9.0,1582.0,11.0,12.0,NO,8,1
K > 24 month,3000.0,1.0,3000.0,1000.0,1.0,1433.0,8.0,52.0,NO,14,1
K > 24 month,1300.0,5.0,1300.0,433.0,5.0,846.0,15.0,61.0,NO,18,1
K > 24 month,900.0,5.0,996.0,332.0,9.0,0.0,29.0,15.0,NO,29,1
K > 24 month,700.0,3.0,795.0,265.0,10.0,1.0,1.0,5.0,NO,9,1
K > 24 month,1000.0,2.0,1000.0,333.0,2.0,112.0,68.0,11.0,NO,7,1
K > 24 month,6800.0,15.0,7796.0,2599.0,15.0,2223.0,285.0,363.0,NO,27,1
K > 24 month,700.0,4.0,700.0,233.0,4.0,51.0,38.0,14.0,NO,20,1
K > 24 month,36600.0,57.0,40901.0,13634.0,57.0,1377.0,529.0,336.0,NO,62,1
K > 24 month,4500.0,9.0,5000.0,1667.0,10.0,0.0,52.0,143.0,NO,26,1
K > 24 month,8550.0,23.0,8280.0,2760.0,28.0,1009.0,350.0,224.0,NO,46,1
K > 24 month,500.0,1.0,500.0,167.0,2.0,90.0,0.0,3.0,NO,7,1
K > 24 month,200.0,1.0,184.0,61.0,1.0,0.0,0.0,2.0,NO,1,1
K > 24 month,12800.0,17.0,12547.0,4182.0,24.0,12452.0,6.0,9.0,NO,56,1
K > 24 month,700.0,2.0,550.0,183.0,2.0,0.0,7.0,5.0,NO,36,1
K > 24 month,2500.0,5.0,2499.0,833.0,11.0,81.0,1000.0,50.0,NO,13,1
K > 24 month,500.0,1.0,499.0,166.0,3.0,0.0,3.0,1.0,NO,7,1
K > 24 month,3000.0,8.0,3000.0,1000.0,11.0,3031.0,61.0,22.0,NO,58,1
K > 24 month,3500.0,8.0,3498.0,1166.0,8.0,0.0,30.0,37.0,NO,26,1
K > 24 month,3000.0,5.0,3529.0,1176.0,8.0,1947.0,59.0,73.0,NO,7,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,30.0,1.0,11.0,NO,29,1
K > 24 month,1000.0,1.0,990.0,330.0,1.0,3359.0,0.0,3.0,NO,16,1
K > 24 month,3700.0,8.0,3575.0,1192.0,12.0,6470.0,4.0,4.0,NO,33,1
K > 24 month,2950.0,7.0,2947.0,982.0,7.0,3848.0,364.0,10.0,NO,29,1
K > 24 month,500.0,1.0,998.0,333.0,3.0,207.0,22.0,2.0,NO,11,1
K > 24 month,400.0,2.0,388.0,129.0,2.0,59.0,3.0,3.0,NO,11,1
K > 24 month,3800.0,18.0,4086.0,1362.0,22.0,1238.0,6.0,2.0,NO,17,1
K > 24 month,1800.0,11.0,2202.0,734.0,13.0,268.0,2.0,6.0,NO,47,1
K > 24 month,1100.0,4.0,1101.0,367.0,9.0,1949.0,122.0,5.0,NO,19,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,6.0,1.0,NO,8,1
K > 24 month,1500.0,6.0,1701.0,567.0,10.0,1.0,540.0,47.0,NO,59,1
K > 24 month,10700.0,19.0,12600.0,4200.0,26.0,9656.0,5.0,57.0,NO,30,1
K > 24 month,2100.0,4.0,2100.0,700.0,5.0,5549.0,0.0,13.0,NO,24,1
K > 24 month,6500.0,13.0,6501.0,2167.0,16.0,25526.0,21.0,9.0,NO,46,1
K > 24 month,14000.0,9.0,13475.0,4492.0,17.0,636.0,9.0,113.0,NO,21,1
K > 24 month,600.0,3.0,600.0,200.0,3.0,0.0,395.0,21.0,NO,42,1
K > 24 month,6100.0,16.0,6131.0,2044.0,21.0,5062.0,1.0,17.0,NO,32,1
K > 24 month,100.0,1.0,82.0,27.0,1.0,213.0,7.0,1.0,NO,7,1
K > 24 month,5000.0,3.0,5000.0,1667.0,5.0,11630.0,2.0,6.0,NO,24,1
K > 24 month,17350.0,52.0,16751.0,5584.0,58.0,3772.0,3556.0,408.0,NO,62,1
K > 24 month,5500.0,3.0,5500.0,1833.0,4.0,0.0,1.0,23.0,NO,9,1
K > 24 month,2900.0,6.0,2930.0,977.0,7.0,3430.0,18.0,8.0,NO,41,1
K > 24 month,3000.0,3.0,2394.0,798.0,5.0,2273.0,6.0,33.0,NO,4,1
K > 24 month,12650.0,31.0,13652.0,4551.0,58.0,2046.0,7.0,81.0,NO,60,1
K > 24 month,1600.0,4.0,1486.0,495.0,4.0,0.0,0.0,7.0,NO,5,1
K > 24 month,1500.0,3.0,1500.0,500.0,2.0,0.0,94.0,10.0,NO,14,1
K > 24 month,3250.0,5.0,3232.0,1077.0,9.0,3193.0,6.0,17.0,NO,12,1
K > 24 month,3000.0,6.0,2940.0,980.0,6.0,6436.0,0.0,6.0,NO,5,1
G 12-15 month,10000.0,10.0,11000.0,3667.0,11.0,12674.0,81.0,23.0,NO,50,1
K > 24 month,3250.0,11.0,3226.0,1075.0,14.0,2996.0,2.0,0.0,NO,9,1
K > 24 month,2150.0,6.0,2140.0,713.0,9.0,178.0,29.0,18.0,NO,57,1
K > 24 month,4500.0,8.0,4510.0,1503.0,9.0,3859.0,8.0,99.0,NO,50,1
K > 24 month,19500.0,30.0,20999.0,7000.0,32.0,0.0,603.0,634.0,NO,59,1
K > 24 month,5100.0,6.0,5100.0,1700.0,7.0,19002.0,10.0,27.0,NO,14,1
K > 24 month,11800.0,6.0,11660.0,3887.0,8.0,0.0,0.0,24.0,NO,45,1
K > 24 month,1700.0,4.0,1700.0,567.0,4.0,4.0,28.0,20.0,NO,9,1
K > 24 month,500.0,1.0,491.0,164.0,3.0,1.0,1.0,4.0,NO,8,1
K > 24 month,2000.0,4.0,3000.0,1000.0,7.0,191.0,302.0,27.0,NO,30,1
K > 24 month,1000.0,5.0,1000.0,333.0,7.0,0.0,78.0,24.0,NO,32,1
K > 24 month,3000.0,4.0,2430.0,810.0,7.0,1588.0,7.0,20.0,NO,18,1
K > 24 month,7500.0,11.0,8522.0,2841.0,19.0,14811.0,8.0,33.0,NO,41,1
K > 24 month,6400.0,10.0,6399.0,2133.0,10.0,0.0,268.0,49.0,NO,23,1
K > 24 month,1000.0,2.0,1500.0,500.0,3.0,0.0,85.0,59.0,NO,25,1
K > 24 month,2700.0,10.0,2886.0,962.0,11.0,4907.0,4.0,9.0,NO,30,1
K > 24 month,300.0,1.0,300.0,100.0,2.0,0.0,6.0,11.0,NO,3,1
K > 24 month,1500.0,3.0,1501.0,500.0,5.0,2159.0,0.0,9.0,NO,2,1
K > 24 month,500.0,1.0,184.0,61.0,2.0,1023.0,0.0,1.0,NO,14,1
K > 24 month,1000.0,2.0,818.0,273.0,8.0,1.0,2.0,9.0,NO,7,1
K > 24 month,2000.0,1.0,1677.0,559.0,4.0,393.0,0.0,9.0,NO,14,1
K > 24 month,5000.0,10.0,4989.0,1663.0,9.0,6362.0,112.0,55.0,NO,20,1
K > 24 month,500.0,1.0,1001.0,334.0,7.0,108.0,2.0,8.0,NO,11,1
K > 24 month,500.0,2.0,493.0,164.0,2.0,0.0,9.0,1.0,NO,12,1
K > 24 month,1700.0,10.0,1800.0,600.0,12.0,479.0,18.0,16.0,NO,5,1
K > 24 month,1550.0,14.0,1632.0,544.0,17.0,412.0,7.0,1.0,NO,34,1
I 18-21 month,10000.0,10.0,10699.0,3566.0,19.0,5724.0,1.0,17.0,NO,1,1
K > 24 month,2000.0,1.0,1998.0,666.0,6.0,9612.0,1.0,2.0,NO,12,1
K > 24 month,1100.0,3.0,1109.0,370.0,6.0,2.0,6.0,3.0,NO,12,1
K > 24 month,1400.0,12.0,1400.0,467.0,14.0,865.0,7.0,2.0,NO,31,1
K > 24 month,1300.0,6.0,1300.0,433.0,6.0,924.0,914.0,2.0,NO,12,1
K > 24 month,200.0,1.0,184.0,61.0,1.0,475.0,6.0,1.0,NO,12,1
K > 24 month,2000.0,2.0,1959.0,653.0,4.0,939.0,0.0,7.0,NO,28,1
K > 24 month,2200.0,5.0,2700.0,900.0,6.0,0.0,73.0,57.0,NO,38,1
K > 24 month,1000.0,2.0,699.0,233.0,4.0,0.0,290.0,17.0,NO,35,1
K > 24 month,4350.0,12.0,4361.0,1454.0,15.0,15498.0,16.0,88.0,NO,11,1
K > 24 month,1500.0,3.0,1482.0,494.0,3.0,2829.0,12.0,3.0,NO,16,1
K > 24 month,3000.0,9.0,2880.0,960.0,12.0,386.0,1.0,13.0,NO,40,1
K > 24 month,6500.0,9.0,6499.0,2166.0,10.0,8400.0,289.0,183.0,NO,48,1
K > 24 month,4100.0,16.0,3506.0,1169.0,18.0,0.0,5.0,18.0,NO,49,1
K > 24 month,1000.0,2.0,751.0,250.0,2.0,1904.0,38.0,3.0,NO,20,1
K > 24 month,2500.0,5.0,2502.0,834.0,7.0,36.0,1.0,22.0,NO,10,1
K > 24 month,4000.0,5.0,4500.0,1500.0,6.0,4.0,25.0,19.0,NO,19,1
K > 24 month,500.0,1.0,1002.0,334.0,3.0,300.0,1.0,16.0,NO,2,1
K > 24 month,1400.0,4.0,1400.0,467.0,6.0,2.0,64.0,29.0,NO,8,1
K > 24 month,3500.0,4.0,3487.0,1162.0,5.0,8206.0,1.0,19.0,NO,44,1
K > 24 month,2550.0,10.0,2532.0,844.0,10.0,6972.0,26.0,11.0,NO,20,1
K > 24 month,5250.0,8.0,5816.0,1939.0,9.0,4517.0,6.0,48.0,NO,15,1
K > 24 month,4000.0,20.0,3988.0,1329.0,22.0,153.0,1567.0,16.0,NO,38,1
K > 24 month,1000.0,1.0,1000.0,333.0,1.0,875.0,8.0,6.0,NO,4,1
K > 24 month,10500.0,21.0,10989.0,3663.0,28.0,25117.0,0.0,10.0,NO,62,1
I 18-21 month,6900.0,18.0,7249.0,2416.0,22.0,2267.0,378.0,16.0,NO,30,1
K > 24 month,3000.0,4.0,2989.0,996.0,4.0,5770.0,4.0,0.0,NO,1,1
K > 24 month,550.0,2.0,549.0,183.0,2.0,10.0,15.0,19.0,NO,17,1
K > 24 month,2800.0,16.0,2907.0,969.0,18.0,4193.0,0.0,1.0,NO,26,1
K > 24 month,3000.0,5.0,2102.0,701.0,7.0,0.0,4.0,37.0,NO,20,1
K > 24 month,500.0,1.0,999.0,333.0,7.0,118.0,125.0,5.0,NO,9,1
K > 24 month,600.0,2.0,512.0,171.0,2.0,0.0,1.0,6.0,NO,13,1
K > 24 month,3000.0,2.0,2988.0,996.0,7.0,1010.0,9.0,28.0,NO,31,1
K > 24 month,400.0,4.0,424.0,141.0,4.0,394.0,1.0,0.0,NO,6,1
K > 24 month,100.0,1.0,101.0,34.0,3.0,180.0,17.0,0.0,NO,28,1
K > 24 month,26000.0,22.0,25936.0,8645.0,32.0,51800.0,0.0,54.0,NO,42,1
K > 24 month,2000.0,4.0,2001.0,667.0,5.0,360.0,8.0,52.0,NO,25,1
K > 24 month,1500.0,3.0,1505.0,502.0,4.0,3140.0,0.0,0.0,NO,18,1
K > 24 month,8000.0,2.0,6014.0,2005.0,3.0,1467.0,1418.0,432.0,NO,49,1
K > 24 month,200.0,1.0,200.0,67.0,1.0,713.0,2.0,3.0,NO,3,1
K > 24 month,8500.0,9.0,11044.0,3681.0,13.0,22386.0,8.0,10.0,NO,46,1
K > 24 month,4500.0,5.0,4500.0,1500.0,8.0,2656.0,8.0,20.0,NO,25,1
K > 24 month,1200.0,4.0,941.0,314.0,6.0,1366.0,0.0,0.0,NO,24,1
K > 24 month,3000.0,4.0,3460.0,1153.0,5.0,263.0,4.0,13.0,NO,15,1
K > 24 month,3200.0,6.0,3204.0,1068.0,9.0,4764.0,3.0,54.0,NO,31,1
K > 24 month,1000.0,2.0,780.0,260.0,4.0,129.0,1.0,1.0,NO,4,1
K > 24 month,500.0,1.0,499.0,166.0,2.0,0.0,6.0,8.0,NO,8,1
F 9-12 month,9000.0,14.0,9488.0,3163.0,14.0,4486.0,38.0,42.0,NO,10,1
K > 24 month,6200.0,4.0,6435.0,2145.0,5.0,701.0,407.0,295.0,NO,53,1
K > 24 month,79500.0,66.0,80710.0,26903.0,69.0,87025.0,596.0,69.0,NO,62,1
K > 24 month,13000.0,18.0,12828.0,4276.0,57.0,92978.0,3.0,4.0,NO,46,1
K > 24 month,2300.0,4.0,2301.0,767.0,4.0,1513.0,12.0,20.0,NO,36,1
G 12-15 month,1500.0,2.0,1504.0,501.0,3.0,494.0,0.0,35.0,NO,24,1
K > 24 month,3200.0,5.0,4200.0,1400.0,7.0,3604.0,9.0,42.0,NO,1,1
K > 24 month,5100.0,11.0,4634.0,1545.0,11.0,239.0,1148.0,49.0,NO,8,1
K > 24 month,1000.0,2.0,1000.0,333.0,3.0,153.0,0.0,12.0,NO,31,1
K > 24 month,1350.0,7.0,1350.0,450.0,10.0,263.0,1.0,7.0,NO,8,1
K > 24 month,4000.0,8.0,3998.0,1333.0,10.0,7614.0,0.0,9.0,NO,37,1
K > 24 month,520.0,2.0,516.0,172.0,3.0,1025.0,53.0,14.0,NO,18,1
K > 24 month,1700.0,4.0,1460.0,487.0,4.0,631.0,25.0,17.0,NO,50,1
K > 24 month,3500.0,6.0,3498.0,1166.0,7.0,31.0,11.0,6.0,NO,10,1
K > 24 month,1500.0,3.0,1500.0,500.0,4.0,0.0,31.0,26.0,NO,14,1
K > 24 month,1300.0,4.0,1787.0,596.0,6.0,0.0,84.0,39.0,NO,9,1
K > 24 month,1300.0,3.0,1296.0,432.0,7.0,1315.0,20.0,8.0,NO,14,1
K > 24 month,5900.0,21.0,6300.0,2100.0,26.0,0.0,3151.0,187.0,NO,32,1
K > 24 month,4500.0,8.0,4520.0,1507.0,10.0,12965.0,1.0,23.0,NO,43,1
K > 24 month,4600.0,8.0,5802.0,1934.0,11.0,6574.0,5.0,7.0,NO,4,1
K > 24 month,200.0,1.0,186.0,62.0,2.0,0.0,8.0,1.0,NO,22,1
K > 24 month,4600.0,11.0,5100.0,1700.0,15.0,19370.0,0.0,16.0,NO,33,1
K > 24 month,4000.0,6.0,4000.0,1333.0,8.0,3346.0,17.0,25.0,NO,56,1
K > 24 month,2000.0,1.0,1975.0,658.0,7.0,178.0,0.0,0.0,NO,14,1
K > 24 month,1300.0,2.0,1300.0,433.0,2.0,0.0,21.0,30.0,NO,30,1
K > 24 month,6500.0,6.0,6499.0,2166.0,9.0,0.0,1215.0,6.0,NO,38,1
K > 24 month,5200.0,18.0,5198.0,1733.0,20.0,79.0,1255.0,79.0,NO,29,1
K > 24 month,800.0,3.0,1286.0,429.0,4.0,497.0,1.0,1.0,NO,24,1
K > 24 month,900.0,4.0,901.0,300.0,5.0,24.0,25.0,8.0,NO,15,1
K > 24 month,5600.0,12.0,4961.0,1654.0,17.0,1785.0,0.0,24.0,NO,3,1
K > 24 month,6500.0,14.0,6495.0,2165.0,15.0,238.0,8.0,146.0,NO,22,1
K > 24 month,3600.0,5.0,3581.0,1194.0,6.0,1.0,8.0,117.0,NO,19,1
K > 24 month,200.0,1.0,1150.0,383.0,4.0,1229.0,5.0,16.0,NO,1,1
K > 24 month,3200.0,8.0,3197.0,1066.0,9.0,4073.0,20.0,0.0,NO,14,1
K > 24 month,25050.0,40.0,26684.0,8895.0,51.0,20918.0,7.0,167.0,NO,48,1
K > 24 month,6500.0,13.0,7000.0,2333.0,16.0,10.0,27.0,143.0,NO,21,1
K > 24 month,7800.0,13.0,7800.0,2600.0,14.0,4628.0,98.0,2.0,NO,9,1
K > 24 month,16500.0,34.0,19197.0,6399.0,36.0,16856.0,13.0,1.0,NO,36,1
K > 24 month,1100.0,2.0,1099.0,366.0,3.0,379.0,1.0,2.0,NO,29,1
K > 24 month,1500.0,2.0,1490.0,497.0,2.0,2682.0,2.0,9.0,NO,22,1
K > 24 month,1300.0,4.0,1300.0,433.0,6.0,2501.0,0.0,0.0,NO,4,1
K > 24 month,4500.0,6.0,4500.0,1500.0,14.0,175.0,9.0,33.0,NO,7,1
K > 24 month,600.0,2.0,1199.0,400.0,7.0,0.0,2.0,6.0,NO,6,1
K > 24 month,4500.0,6.0,4204.0,1401.0,8.0,8514.0,35.0,3.0,NO,5,1
K > 24 month,8700.0,35.0,9230.0,3077.0,59.0,391.0,54.0,37.0,NO,46,1
K > 24 month,1400.0,4.0,1400.0,467.0,7.0,2316.0,1.0,14.0,NO,8,1
K > 24 month,10800.0,14.0,10996.0,3665.0,15.0,10253.0,27.0,166.0,NO,25,1
K > 24 month,500.0,1.0,491.0,164.0,1.0,0.0,1.0,3.0,NO,14,1
K > 24 month,1500.0,3.0,1500.0,500.0,4.0,2729.0,1.0,5.0,NO,10,1
K > 24 month,2000.0,5.0,2001.0,667.0,8.0,6501.0,3.0,22.0,NO,27,1
K > 24 month,450.0,2.0,452.0,151.0,2.0,1601.0,64.0,16.0,NO,24,1
K > 24 month,1500.0,2.0,1501.0,500.0,3.0,2071.0,2.0,15.0,NO,39,1
K > 24 month,10700.0,30.0,10990.0,3663.0,38.0,0.0,146.0,238.0,NO,51,1
K > 24 month,1450.0,5.0,2440.0,813.0,6.0,2292.0,115.0,114.0,NO,11,1
K > 24 month,2500.0,4.0,2500.0,833.0,4.0,9.0,80.0,5.0,NO,54,1
K > 24 month,12050.0,20.0,12416.0,4139.0,28.0,14546.0,56.0,103.0,NO,53,1
K > 24 month,1250.0,3.0,1251.0,417.0,14.0,1244.0,4.0,1.0,NO,22,1
I 18-21 month,6700.0,28.0,6482.0,2161.0,32.0,6061.0,0.0,2.0,NO,47,1
K > 24 month,3200.0,19.0,3682.0,1227.0,22.0,2704.0,43.0,13.0,NO,44,1
K > 24 month,2000.0,1.0,2482.0,827.0,5.0,3156.0,5.0,8.0,NO,1,1
H 15-18 month,3000.0,8.0,3434.0,1145.0,12.0,4984.0,8.0,4.0,NO,12,1
K > 24 month,1750.0,4.0,1851.0,617.0,5.0,241.0,156.0,3.0,NO,19,1
F 9-12 month,4200.0,11.0,4199.0,1400.0,12.0,701.0,28.0,24.0,NO,50,1
K > 24 month,2600.0,6.0,3601.0,1200.0,11.0,1876.0,1.0,19.0,NO,21,1
K > 24 month,2000.0,2.0,1721.0,574.0,6.0,24.0,0.0,13.0,NO,15,1
K > 24 month,7500.0,15.0,8490.0,2830.0,17.0,4148.0,504.0,118.0,NO,37,1
K > 24 month,10700.0,16.0,12293.0,4098.0,23.0,25848.0,11.0,4.0,NO,39,1
K > 24 month,2200.0,2.0,2186.0,729.0,3.0,2080.0,2.0,0.0,NO,11,1
I 18-21 month,500.0,1.0,500.0,167.0,1.0,75.0,3.0,5.0,NO,5,1
K > 24 month,200.0,1.0,186.0,62.0,1.0,1024.0,4.0,3.0,NO,16,1
I 18-21 month,600.0,2.0,500.0,167.0,1.0,46.0,5.0,26.0,NO,1,1
K > 24 month,7000.0,14.0,6990.0,2330.0,20.0,14065.0,17.0,9.0,NO,59,1
K > 24 month,1300.0,4.0,1317.0,439.0,5.0,4.0,34.0,2.0,NO,12,1
K > 24 month,8000.0,10.0,8001.0,2667.0,24.0,0.0,103.0,161.0,NO,40,1
K > 24 month,7000.0,5.0,7000.0,2333.0,4.0,159.0,0.0,1.0,NO,4,1
K > 24 month,100.0,1.0,291.0,97.0,2.0,0.0,1.0,5.0,NO,38,1
K > 24 month,500.0,1.0,491.0,164.0,1.0,1.0,5.0,4.0,NO,12,1
K > 24 month,1100.0,2.0,1216.0,405.0,3.0,0.0,28.0,8.0,NO,29,1
K > 24 month,500.0,1.0,988.0,329.0,3.0,98.0,32.0,2.0,NO,1,1
K > 24 month,7700.0,16.0,8203.0,2734.0,21.0,3083.0,18.0,249.0,NO,23,1
K > 24 month,1400.0,4.0,1684.0,561.0,5.0,45.0,11.0,5.0,NO,9,1
K > 24 month,1600.0,4.0,1592.0,531.0,3.0,2740.0,22.0,13.0,NO,19,1
K > 24 month,4150.0,11.0,4150.0,1383.0,11.0,2247.0,176.0,114.0,NO,23,1
K > 24 month,3500.0,6.0,3901.0,1300.0,8.0,0.0,87.0,181.0,NO,21,1
K > 24 month,1500.0,3.0,1501.0,500.0,3.0,0.0,11.0,32.0,NO,1,1
K > 24 month,550.0,3.0,250.0,83.0,1.0,1339.0,82.0,7.0,NO,7,1
K > 24 month,500.0,1.0,501.0,167.0,2.0,0.0,0.0,11.0,NO,52,1
K > 24 month,500.0,3.0,495.0,165.0,3.0,1.0,0.0,3.0,NO,5,1
K > 24 month,4500.0,4.0,4499.0,1500.0,4.0,1120.0,76.0,66.0,NO,13,1
K > 24 month,150.0,1.0,150.0,50.0,3.0,0.0,1.0,1.0,NO,8,1
K > 24 month,1000.0,1.0,1173.0,391.0,6.0,0.0,1.0,7.0,NO,9,1
K > 24 month,600.0,2.0,580.0,193.0,5.0,62.0,1.0,1.0,NO,5,1
K > 24 month,13400.0,19.0,14052.0,4684.0,18.0,18073.0,51.0,75.0,NO,10,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,29.0,4.0,NO,16,1
K > 24 month,250.0,1.0,250.0,83.0,1.0,1031.0,43.0,1.0,NO,4,1
K > 24 month,2450.0,7.0,2451.0,817.0,10.0,777.0,22.0,58.0,NO,16,1
K > 24 month,4350.0,9.0,5353.0,1784.0,10.0,0.0,119.0,107.0,NO,34,1
K > 24 month,400.0,2.0,600.0,200.0,3.0,0.0,43.0,9.0,NO,36,1
G 12-15 month,100.0,1.0,82.0,27.0,1.0,2.0,0.0,1.0,NO,1,1
K > 24 month,5000.0,1.0,5000.0,1667.0,1.0,9802.0,9.0,92.0,NO,13,1
K > 24 month,2200.0,3.0,2197.0,732.0,4.0,445.0,3.0,71.0,NO,4,1
K > 24 month,2000.0,2.0,1571.0,524.0,4.0,263.0,2.0,13.0,NO,10,1
K > 24 month,1000.0,1.0,1000.0,333.0,1.0,0.0,0.0,14.0,NO,13,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,36.0,31.0,NO,4,1
K > 24 month,2500.0,3.0,1665.0,555.0,4.0,0.0,1.0,2.0,NO,6,1
K > 24 month,1700.0,3.0,2210.0,737.0,4.0,1837.0,39.0,9.0,NO,6,1
K > 24 month,5250.0,5.0,5267.0,1756.0,9.0,8973.0,62.0,2.0,NO,62,1
K > 24 month,26500.0,10.0,25848.0,8616.0,25.0,1491.0,0.0,224.0,NO,42,1
K > 24 month,20300.0,27.0,20799.0,6933.0,34.0,363.0,93.0,572.0,NO,61,1
K > 24 month,3000.0,3.0,3005.0,1002.0,4.0,6777.0,1.0,0.0,NO,12,1
K > 24 month,600.0,1.0,593.0,198.0,2.0,0.0,0.0,4.0,NO,13,1
K > 24 month,1000.0,2.0,1000.0,333.0,2.0,1262.0,0.0,20.0,NO,3,1
K > 24 month,4300.0,20.0,4500.0,1500.0,25.0,3313.0,15.0,6.0,NO,36,1
K > 24 month,1700.0,4.0,1686.0,562.0,4.0,2665.0,8.0,2.0,NO,8,1
K > 24 month,1200.0,3.0,1200.0,400.0,3.0,250.0,9.0,3.0,NO,4,1
K > 24 month,10000.0,6.0,10008.0,3336.0,5.0,1333.0,14.0,156.0,NO,3,1
K > 24 month,16800.0,20.0,17478.0,5826.0,23.0,4691.0,9.0,50.0,NO,16,1
K > 24 month,8600.0,22.0,7999.0,2666.0,25.0,0.0,1184.0,54.0,NO,62,1
K > 24 month,1500.0,3.0,1499.0,500.0,3.0,106.0,81.0,38.0,NO,11,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,50.0,48.0,20.0,NO,6,1
K > 24 month,1000.0,2.0,1000.0,333.0,2.0,305.0,63.0,66.0,NO,8,1
K > 24 month,2500.0,4.0,2491.0,830.0,4.0,7.0,338.0,10.0,NO,10,1
K > 24 month,7200.0,13.0,7729.0,2576.0,20.0,11628.0,0.0,1.0,NO,6,1
K > 24 month,2800.0,8.0,2900.0,967.0,9.0,0.0,25.0,29.0,NO,33,1
K > 24 month,4500.0,13.0,4487.0,1496.0,15.0,5324.0,208.0,17.0,NO,31,1
K > 24 month,3000.0,2.0,3532.0,1177.0,5.0,5101.0,9.0,2.0,NO,5,1
K > 24 month,500.0,1.0,598.0,199.0,2.0,846.0,4.0,14.0,NO,14,1
K > 24 month,500.0,1.0,990.0,330.0,2.0,14.0,0.0,8.0,NO,8,1
K > 24 month,4500.0,8.0,4501.0,1500.0,11.0,9855.0,16.0,15.0,NO,29,1
H 15-18 month,13700.0,14.0,14610.0,4870.0,16.0,45902.0,3.0,42.0,NO,39,1
K > 24 month,5500.0,10.0,5500.0,1833.0,11.0,345.0,111.0,138.0,NO,49,1
K > 24 month,1700.0,4.0,1684.0,561.0,5.0,3198.0,5.0,10.0,NO,24,1
K > 24 month,1000.0,6.0,1000.0,333.0,10.0,0.0,60.0,1.0,NO,5,1
K > 24 month,6000.0,7.0,5998.0,1999.0,11.0,13429.0,0.0,15.0,NO,62,1
K > 24 month,4300.0,11.0,4291.0,1430.0,14.0,3573.0,0.0,4.0,NO,27,1
K > 24 month,1850.0,7.0,2089.0,696.0,9.0,445.0,19.0,51.0,NO,15,1
K > 24 month,1700.0,4.0,1699.0,566.0,7.0,2446.0,1.0,0.0,NO,22,1
